military_rank,tax_number,full_name,birth_date,source_unit,specialty_name,specialty_code,specialty_mos_code,category,training_location,start_date,end_date,completion_order_number,completion_certificate_number,notes
солдат,3165921173,КРАВЧЕНКО Іван Іванович,09/05/1986,А4754,Механік-водій,121,121223,КІБР,121 НЦ,10/08/2025,11/28/2025,№13 від 28.11.2025,97235,
старший сержант,3286134231,ВОРОНОВ Борис Григорович,12/20/1989,А4754,Кулеметник,101,101255,КІБР,121 НЦ,11/26/2025,01/23/2026,№172 від 23.01.2026,20586,
молодший сержант,2675951333,КИРИЛЕНКО Денис Ігорович,04/06/1973,А0501,Кулеметник,101,101255,КІБР,222 брез,10/21/2025,12/18/2025,№212 від 18.12.2025,53511,
солдат,3813139352,ОЛІЙНИК Артем Юрійович,05/25/2004,А2167,Стрілець,100,100915,БЗВП,111 брез,10/23/2025,12/18/2025,№72 від 18.12.2025,19183,
головний сержант,2949005869,КОЗАК Юрій Глібович,09/27/1980,А7014,Розвідник,106,106642,КІБР,111 брез,11/05/2025,01/03/2026,№201 від 03.01.2026,28342,
старший солдат,3602513896,БОНДАРЕНКО Борис Олександрович,08/19/1998,А7014,Оператор БПЛА,212,212720,КІБР,111 брез,10/01/2025,11/17/2025,№473 від 17.11.2025,75550,
старший сержант,3206126070,МАРТИНЕНКО Вадим Григорович,10/12/1987,А1126,Телеграфіст,402,402721,КІБР,222 брез,10/08/2025,12/07/2025,№440 від 07.12.2025,72302,
старший сержант,2937690539,КОРШЕВНЮК Андрій Петрович,06/05/1980,А0501,Бойовий медик,878,878453,КІБР,121 НЦ,10/03/2025,11/25/2025,№293 від 25.11.2025,41554,
молодший сержант,2687799510,ДОВЖЕНКО Павло Григорович,08/02/1973,А0998,Снайпер,110,110001,КІБР,121 НЦ,10/11/2025,11/28/2025,№500 від 28.11.2025,61029,
головний сержант,3687821534,БІЛОУС Володимир Андрійович,12/19/2000,А1126,Механік-водій,121,121223,КІБР,121 НЦ,11/25/2025,01/14/2026,№221 від 14.01.2026,57596,
сержант,3139241512,ПАВЛЕНКО Борис Миколайович,12/12/1985,А0666,Заряджаючий,113,113251,КІБР,222 брез,10/02/2025,11/22/2025,№327 від 22.11.2025,22404,
головний сержант,3556930953,ВОРОНОВ Денис Юрійович,05/20/1997,А4007,Розвідник,106,106642,КІБР,333 брез,11/27/2025,01/13/2026,№231 від 13.01.2026,52657,
солдат,3122015961,САВЧЕНКО Олександр Степанович,06/23/1985,А1126,Радіотелефоніст,403,403733,КІБР,121 НЦ,10/24/2025,12/14/2025,№104 від 14.12.2025,83895,
молодший сержант,3130427391,СИДОРЕНКО Гліб Олегович,09/15/1985,А0666,Кухар,868,868512,КІБР,333 брез,10/16/2025,11/30/2025,№25 від 30.11.2025,71460,
солдат,3803665629,СИДОРЕНКО Борис Миколайович,02/20/2004,А0998,Сапер,166,166611,КІБР,222 брез,11/11/2025,12/31/2025,№467 від 31.12.2025,70085,
молодший сержант,3331612787,ДЯЧЕНКО Василь Валерійович,03/20/1991,А0998,Оператор БПЛА,212,212720,КІБР,333 брез,11/04/2025,12/24/2025,№276 від 24.12.2025,70802,
молодший сержант,2769771145,ДОВЖЕНКО Юрій Іванович,10/31/1975,А4007,Розвідник,106,106642,КІБР,111 брез,10/27/2025,12/19/2025,№121 від 19.12.2025,22228,
головний сержант,3159679870,КРАВЧЕНКО Вадим Миколайович,07/04/1986,А4007,Кулеметник,101,101255,КІБР,222 брез,11/17/2025,01/14/2026,№12 від 14.01.2026,47093,
старший сержант,3135665600,ГЕРАСИМЕНКО Юрій Валерійович,11/06/1985,А2167,Бойовий медик,878,878453,КІБР,222 брез,10/15/2025,12/06/2025,№378 від 06.12.2025,96494,
солдат,2568659626,ТИЩЕНКО Василь Сергійович,04/29/1970,А4007,Стрілець,100,100915,БЗВП,242 ЦПП,10/24/2025,12/09/2025,№388 від 09.12.2025,93604,
сержант,3832062672,КОРШЕВНЮК Олексій Богданович,11/30/2004,А2167,Снайпер,110,110001,КІБР,222 брез,11/11/2025,01/05/2026,№42 від 05.01.2026,58951,
солдат,2759662805,СИДОРЕНКО Іван Степанович,07/22/1975,А4754,Кухар,868,868512,КІБР,121 НЦ,11/07/2025,12/29/2025,№321 від 29.12.2025,85351,
головний сержант,3460619991,КУЗЬМЕНКО Ігор Степанович,09/30/1994,А4007,Стрілець,100,100915,БЗВП,111 брез,11/07/2025,12/28/2025,№230 від 28.12.2025,35599,
старший сержант,3108063399,КИРИЛЕНКО Костянтин Миколайович,02/03/1985,А0998,Радіотелефоніст,403,403733,КІБР,111 брез,10/07/2025,11/23/2025,№342 від 23.11.2025,23454,
старший солдат,2852475540,КОТОВ Максим Глібович,02/04/1978,А0998,Радіотелефоніст,403,403733,КІБР,121 НЦ,10/25/2025,12/21/2025,№336 від 21.12.2025,31020,
старший сержант,3025261725,КОТОВ Олексій Степанович,10/29/1982,А4010,Кухар,868,868512,КІБР,242 ЦПП,11/15/2025,01/09/2026,№396 від 09.01.2026,70833,
головний сержант,3584088888,БОНДАРЕНКО Володимир Сергійович,02/15/1998,А0666,Телеграфіст,402,402721,КІБР,222 брез,10/28/2025,12/27/2025,№19 від 27.12.2025,43886,
солдат,3376672816,ПАНЧЕНКО Андрій Валерійович,06/12/1992,А0501,Механік-водій,121,121223,КІБР,222 брез,11/01/2025,12/27/2025,№19 від 27.12.2025,64998,
головний сержант,2901846991,КОРШЕВНЮК Сергій Іванович,06/13/1979,А4007,Кулеметник,101,101255,КІБР,111 брез,10/25/2025,12/12/2025,№125 від 12.12.2025,43892,
солдат,3536141698,САВЧЕНКО Богдан Григорович,10/24/1996,А1126,Оператор БПЛА,212,212720,КІБР,333 брез,11/22/2025,01/10/2026,№287 від 10.01.2026,88351,
молодший сержант,2869466576,КРАВЧЕНКО Михайло Богданович,07/24/1978,А0139,Снайпер,110,110001,КІБР,333 брез,11/19/2025,01/16/2026,№167 від 16.01.2026,61123,
старший солдат,2893786245,ТИЩЕНКО Максим Іванович,03/24/1979,А0501,Водій,837,837037,КІБР,333 брез,10/23/2025,12/15/2025,№384 від 15.12.2025,46959,
сержант,2927564709,ДЯЧЕНКО Петро Віталійович,02/25/1980,А1126,Бойовий медик,878,878453,КІБР,111 брез,10/10/2025,11/27/2025,№459 від 27.11.2025,55123,
молодший сержант,2939009232,ОЛІЙНИК Роман Валерійович,06/19/1980,А1126,Телеграфіст,402,402721,КІБР,222 брез,11/16/2025,01/12/2026,№440 від 12.01.2026,56234,
молодший сержант,3228034487,САВЧЕНКО Павло Петрович,05/18/1988,А0139,Оператор БПЛА,212,212720,КІБР,121 НЦ,11/26/2025,01/14/2026,№165 від 14.01.2026,83763,
сержант,3335999262,САВЧЕНКО Олександр Олександрович,05/02/1991,А4007,Оператор БПЛА,212,212720,КІБР,222 брез,11/24/2025,01/19/2026,№402 від 19.01.2026,60869,
солдат,3137342221,ДОВЖЕНКО Борис Олександрович,11/23/1985,А7014,Телеграфіст,402,402721,КІБР,121 НЦ,10/07/2025,11/23/2025,№186 від 23.11.2025,51087,
старший солдат,3067936738,СИДОРЕНКО Юрій Юрійович,12/30/1983,А7014,Розвідник,106,106642,КІБР,242 ЦПП,10/17/2025,12/16/2025,№380 від 16.12.2025,83386,
старший сержант,3369686874,ПОЛІЩУК Денис Володимирович,04/03/1992,А0666,Бойовий медик,878,878453,КІБР,242 ЦПП,11/14/2025,01/06/2026,№72 від 06.01.2026,35369,
старший солдат,2669469042,ОЛІЙНИК Віктор Богданович,01/31/1973,А4010,Гранатометник,107,107543,КІБР,333 брез,10/25/2025,12/24/2025,№18 від 24.12.2025,89707,
молодший сержант,2596200677,БІЛОУС Валерій Ігорович,01/30/1971,А4754,Розвідник,106,106642,КІБР,111 брез,11/22/2025,01/19/2026,№259 від 19.01.2026,97409,
сержант,2750216900,САВЧЕНКО Костянтин Олександрович,04/19/1975,А0998,Оператор БПЛА,212,212720,КІБР,242 ЦПП,11/05/2025,12/23/2025,№168 від 23.12.2025,64305,
молодший сержант,3301935419,ВОРОНОВ Михайло Ігорович,05/27/1990,А1126,Оператор БПЛА,212,212720,КІБР,222 брез,11/05/2025,12/26/2025,№5 від 26.12.2025,62602,
сержант,3209043267,ЗАЙЦЕВ Вадим Михайлович,11/10/1987,А1126,Водій,837,837037,КІБР,333 брез,10/09/2025,12/01/2025,№467 від 01.12.2025,31715,
старший солдат,3189652109,КИРИЛЕНКО Вадим Валерійович,04/30/1987,А4007,Оператор БПЛА,212,212720,КІБР,333 брез,11/25/2025,01/09/2026,№81 від 09.01.2026,58808,
сержант,2655795360,ТКАЧУК Борис Сергійович,09/16/1972,А0139,Снайпер,110,110001,КІБР,222 брез,10/08/2025,12/03/2025,№179 від 03.12.2025,67676,
молодший сержант,2966788178,ЯКОВЕНКО Василь Анатолійович,03/23/1981,А0666,Розвідник,106,106642,КІБР,333 брез,11/04/2025,12/29/2025,№442 від 29.12.2025,18992,
сержант,2690087901,ТИЩЕНКО Валерій Григорович,08/25/1973,А0501,Водій,837,837037,КІБР,222 брез,11/10/2025,12/28/2025,№321 від 28.12.2025,22609,
головний сержант,2916198960,КИРИЛЕНКО Петро Володимирович,11/03/1979,А0139,Кулеметник,101,101255,КІБР,111 брез,11/15/2025,01/06/2026,№353 від 06.01.2026,22285,
сержант,3331307499,КИРИЛЕНКО Валерій Олександрович,03/17/1991,А1126,Оператор БПЛА,212,212720,КІБР,121 НЦ,10/23/2025,12/07/2025,№24 від 07.12.2025,17649,
сержант,3799854418,ШЕВЧЕНКО Денис Петрович,01/13/2004,А0998,Телеграфіст,402,402721,КІБР,121 НЦ,10/27/2025,12/24/2025,№149 від 24.12.2025,75239,
сержант,3492953966,ТКАЧУК Гліб Ігорович,08/19/1995,А1126,Водій,837,837037,КІБР,333 брез,10/15/2025,12/10/2025,№387 від 10.12.2025,50625,
головний сержант,3256485223,ДЯЧЕНКО Роман Сергійович,02/26/1989,А4007,Снайпер,110,110001,КІБР,111 брез,10/05/2025,11/24/2025,№422 від 24.11.2025,15719,
старший сержант,2709666108,КУЗЬМЕНКО Анатолій Іванович,03/09/1974,А4754,Снайпер,110,110001,КІБР,222 брез,11/03/2025,12/31/2025,№150 від 31.12.2025,90624,
солдат,3732453676,ДЯЧЕНКО Володимир Сергійович,03/10/2002,А4010,Бойовий медик,878,878453,КІБР,242 ЦПП,10/26/2025,12/24/2025,№268 від 24.12.2025,84064,
старший сержант,3227363885,ТКАЧУК Артем Михайлович,05/11/1988,А0666,Кухар,868,868512,КІБР,121 НЦ,10/20/2025,12/11/2025,№100 від 11.12.2025,23182,
старший сержант,2678682981,ХОТЯНОВИЧ Олег Глібович,05/03/1973,А7014,Водій,837,837037,КІБР,111 брез,10/10/2025,12/04/2025,№144 від 04.12.2025,93398,
старший сержант,2800398827,ЯКОВЕНКО Артем Олександрович,09/01/1976,А0501,Кулеметник,101,101255,КІБР,121 НЦ,11/05/2025,12/27/2025,№101 від 27.12.2025,40081,
старший сержант,2939080064,ПАВЛЕНКО Віталій Сергійович,06/19/1980,А0666,Оператор БПЛА,212,212720,КІБР,242 ЦПП,10/08/2025,11/30/2025,№221 від 30.11.2025,26879,
солдат,3637688104,КУЗЬМЕНКО Руслан Павлович,08/05/1999,А4754,Бойовий медик,878,878453,КІБР,333 брез,11/12/2025,01/09/2026,№307 від 09.01.2026,63986,
солдат,2735511401,СИДОРЕНКО Іван Григорович,11/23/1974,А4754,Заряджаючий,113,113251,КІБР,222 брез,11/16/2025,01/07/2026,№120 від 07.01.2026,45637,
старший солдат,3183382046,ЗАЙЦЕВ Ігор Віталійович,02/26/1987,А0998,Розвідник,106,106642,КІБР,111 брез,10/02/2025,11/22/2025,№33 від 22.11.2025,10979,
молодший сержант,2731404599,ОЛІЙНИК Борис Олександрович,10/13/1974,А4010,Механік-водій,121,121223,КІБР,333 брез,10/06/2025,11/29/2025,№87 від 29.11.2025,22390,
старший солдат,3451806326,ЛИТВИН Валерій Павлович,07/04/1994,А4007,Телеграфіст,402,402721,КІБР,333 брез,10/23/2025,12/22/2025,№433 від 22.12.2025,76059,
старший солдат,3280379250,КРАВЧЕНКО Вадим Богданович,10/23/1989,А0139,Заряджаючий,113,113251,КІБР,242 ЦПП,10/02/2025,11/27/2025,№52 від 27.11.2025,34098,
молодший сержант,3195569705,САВЧЕНКО Сергій Олександрович,06/28/1987,А0139,Оператор БПЛА,212,212720,КІБР,333 брез,11/12/2025,12/28/2025,№469 від 28.12.2025,56460,
солдат,3821381805,КОЗАК Михайло Сергійович,08/15/2004,А4010,Гранатометник,107,107543,КІБР,121 НЦ,10/07/2025,11/29/2025,№256 від 29.11.2025,36069,
сержант,2926776917,КОНДРАТЮК Володимир Григорович,02/17/1980,А4007,Снайпер,110,110001,КІБР,222 брез,11/24/2025,01/11/2026,№46 від 11.01.2026,41217,
головний сержант,2872991258,ЗАЙЦЕВ Володимир Сергійович,08/28/1978,А1126,Заряджаючий,113,113251,КІБР,222 брез,10/21/2025,12/17/2025,№64 від 17.12.2025,46271,
солдат,3118436981,ПОЛІЩУК Василь Володимирович,05/18/1985,А2167,Розвідник,106,106642,КІБР,242 ЦПП,10/05/2025,11/21/2025,№463 від 21.11.2025,32613,
сержант,3049731751,МАРТИНЕНКО Артем Григорович,07/01/1983,А4010,Оператор БПЛА,212,212720,КІБР,242 ЦПП,11/17/2025,01/11/2026,№338 від 11.01.2026,44389,
старший сержант,3772441971,ПАВЛЕНКО Олексій Олегович,04/14/2003,А4754,Заряджаючий,113,113251,КІБР,222 брез,10/12/2025,11/27/2025,№263 від 27.11.2025,81903,
старший солдат,3746352379,ЯКОВЕНКО Юрій Віталійович,07/27/2002,А0998,Телеграфіст,402,402721,КІБР,111 брез,10/08/2025,12/05/2025,№176 від 05.12.2025,77288,
солдат,2994410923,КУЗЬМЕНКО Володимир Миколайович,12/25/1981,А0666,Стрілець,100,100915,БЗВП,333 брез,10/01/2025,11/20/2025,№334 від 20.11.2025,80224,
старший сержант,2695570836,КУЗЬМЕНКО Олексій Михайлович,10/19/1973,А0998,Бойовий медик,878,878453,КІБР,222 брез,10/08/2025,11/26/2025,№392 від 26.11.2025,20041,
молодший сержант,3288929383,ПАВЛЕНКО Віталій Валерійович,01/17/1990,А4754,Стрілець,100,100915,БЗВП,333 брез,11/28/2025,01/26/2026,№493 від 26.01.2026,41187,
старший солдат,3325005023,ПАВЛЕНКО Юрій Степанович,01/13/1991,А0139,Розвідник,106,106642,КІБР,121 НЦ,10/03/2025,11/27/2025,№147 від 27.11.2025,49740,
солдат,2767125322,ВОРОНОВ Олег Петрович,10/05/1975,А4007,Гранатометник,107,107543,КІБР,121 НЦ,10/02/2025,11/20/2025,№12 від 20.11.2025,67648,
сержант,3726186150,МОРОЗ Юрій Анатолійович,01/06/2002,А0501,Гранатометник,107,107543,КІБР,333 брез,11/14/2025,01/07/2026,№33 від 07.01.2026,18916,
молодший сержант,2732821619,МЕЛЬНИК Олександр Іванович,10/27/1974,А7014,Оператор БПЛА,212,212720,КІБР,222 брез,10/20/2025,12/12/2025,№133 від 12.12.2025,81238,
старший солдат,3613765502,КИРИЛЕНКО Денис Андрійович,12/09/1998,А0998,Стрілець,100,100915,БЗВП,242 ЦПП,10/03/2025,11/22/2025,№17 від 22.11.2025,37438,
старший солдат,3166271571,МАРТИНЕНКО Михайло Сергійович,09/08/1986,А7014,Кулеметник,101,101255,КІБР,121 НЦ,11/08/2025,12/26/2025,№486 від 26.12.2025,19930,
солдат,3343432081,ГЕРАСИМЕНКО Руслан Павлович,07/16/1991,А4010,Снайпер,110,110001,КІБР,222 брез,11/10/2025,12/26/2025,№179 від 26.12.2025,18505,
старший солдат,2669026979,ТИЩЕНКО Юрій Олександрович,01/27/1973,А7014,Розвідник,106,106642,КІБР,242 ЦПП,11/17/2025,01/15/2026,№123 від 15.01.2026,69012,
сержант,3542172779,ТКАЧУК Віталій Павлович,12/23/1996,А4010,Гранатометник,107,107543,КІБР,242 ЦПП,10/18/2025,12/07/2025,№409 від 07.12.2025,14095,
старший сержант,3569392157,ДЯЧЕНКО Роман Глібович,09/21/1997,А0139,Снайпер,110,110001,КІБР,222 брез,10/15/2025,12/05/2025,№94 від 05.12.2025,91924,
сержант,3305250750,ХОТЯНОВИЧ Валерій Миколайович,06/29/1990,А4754,Гранатометник,107,107543,КІБР,121 НЦ,10/25/2025,12/16/2025,№33 від 16.12.2025,23122,
старший сержант,2805402471,ЯКОВЕНКО Василь Іванович,10/22/1976,А4007,Радіотелефоніст,403,403733,КІБР,222 брез,10/20/2025,12/15/2025,№117 від 15.12.2025,69931,
молодший сержант,2730711893,ГРИЦЕНКО Денис Анатолійович,10/06/1974,А4007,Стрілець,100,100915,БЗВП,222 брез,11/21/2025,01/14/2026,№227 від 14.01.2026,44747,
молодший сержант,3825772636,ОЛІЙНИК Гліб Ігорович,09/28/2004,А0139,Гранатометник,107,107543,КІБР,242 ЦПП,10/28/2025,12/20/2025,№492 від 20.12.2025,54875,
старший солдат,2793474954,ОЛІЙНИК Борис Павлович,06/24/1976,А1126,Сапер,166,166611,КІБР,242 ЦПП,10/10/2025,11/25/2025,№163 від 25.11.2025,74814,
головний сержант,3336613618,КОНДРАТЮК Олег Глібович,05/09/1991,А0998,Водій,837,837037,КІБР,222 брез,10/26/2025,12/14/2025,№232 від 14.12.2025,55152,
молодший сержант,3461326383,ЯКОВЕНКО В'ячеслав Анатолійович,10/07/1994,А0998,Сапер,166,166611,КІБР,111 брез,11/04/2025,12/27/2025,№319 від 27.12.2025,29618,
солдат,3146906320,ГЕРАСИМЕНКО Юрій Глібович,02/27/1986,А4007,Розвідник,106,106642,КІБР,111 брез,10/06/2025,11/30/2025,№254 від 30.11.2025,39158,
старший солдат,3691999542,ДЯЧЕНКО Костянтин Андрійович,01/29/2001,А4007,Розвідник,106,106642,КІБР,222 брез,10/03/2025,11/30/2025,№83 від 30.11.2025,70442,
головний сержант,3245437692,КРАВЧЕНКО Костянтин Богданович,11/08/1988,А1126,Кулеметник,101,101255,КІБР,333 брез,10/01/2025,11/16/2025,№421 від 16.11.2025,49756,
старший солдат,3760965390,МАРТИНЕНКО В'ячеслав Степанович,12/20/2002,А0501,Снайпер,110,110001,КІБР,242 ЦПП,11/26/2025,01/24/2026,№446 від 24.01.2026,47013,
солдат,2889250928,ОЛІЙНИК Борис Валерійович,02/07/1979,А4007,Оператор БПЛА,212,212720,КІБР,242 ЦПП,11/17/2025,01/04/2026,№205 від 04.01.2026,59779,
головний сержант,3703530811,ХОТЯНОВИЧ Валерій Олегович,05/25/2001,А0666,Кухар,868,868512,КІБР,111 брез,10/13/2025,11/30/2025,№406 від 30.11.2025,68454,
молодший сержант,3277876239,СИДОРЕНКО Денис Глібович,09/28/1989,А0501,Водій,837,837037,КІБР,333 брез,11/11/2025,01/01/2026,№20 від 01.01.2026,46867,
старший солдат,3322825339,ЛИТВИН Іван Ігорович,12/22/1990,А2167,Сапер,166,166611,КІБР,121 НЦ,11/23/2025,01/08/2026,№322 від 08.01.2026,94360,
солдат,3391750864,ГЕРАСИМЕНКО Гліб Григорович,11/10/1992,А4007,Сапер,166,166611,КІБР,242 ЦПП,10/16/2025,12/02/2025,№231 від 02.12.2025,26918,
старший сержант,3689531558,СИДОРЕНКО Анатолій Миколайович,01/05/2001,А0501,Стрілець,100,100915,БЗВП,111 брез,11/23/2025,01/08/2026,№428 від 08.01.2026,67164,
головний сержант,3389381930,ВОРОНОВ Олександр Миколайович,10/17/1992,А2167,Водій,837,837037,КІБР,222 брез,11/16/2025,01/02/2026,№393 від 02.01.2026,17132,
сержант,3037246530,БОНДАРЕНКО Богдан Сергійович,02/26/1983,А7014,Радіотелефоніст,403,403733,КІБР,111 брез,10/10/2025,12/01/2025,№325 від 01.12.2025,72024,
головний сержант,2711772884,СИДОРЕНКО Михайло Володимирович,03/30/1974,А4010,Кухар,868,868512,КІБР,242 ЦПП,11/27/2025,01/14/2026,№165 від 14.01.2026,54437,
старший солдат,2648182201,ВОРОНОВ Руслан Анатолійович,07/02/1972,А2167,Телеграфіст,402,402721,КІБР,111 брез,11/20/2025,01/11/2026,№268 від 11.01.2026,42850,
сержант,3534619047,КИРИЛЕНКО Богдан Богданович,10/09/1996,А0139,Сапер,166,166611,КІБР,333 брез,11/14/2025,01/05/2026,№64 від 05.01.2026,97869,
старший сержант,3065461482,МОРОЗ Олександр Віталійович,12/05/1983,А7014,Бойовий медик,878,878453,КІБР,242 ЦПП,10/03/2025,11/30/2025,№73 від 30.11.2025,26300,
молодший сержант,3452959708,КРАВЧЕНКО Артем Юрійович,07/15/1994,А4754,Кухар,868,868512,КІБР,333 брез,11/26/2025,01/11/2026,№411 від 11.01.2026,82668,
старший солдат,2969850190,ХОТЯНОВИЧ Володимир Віталійович,04/23/1981,А4754,Радіотелефоніст,403,403733,КІБР,222 брез,10/12/2025,12/09/2025,№285 від 09.12.2025,28755,
старший сержант,3282452729,БІЛОУС Богдан Віталійович,11/13/1989,А4010,Гранатометник,107,107543,КІБР,242 ЦПП,10/28/2025,12/26/2025,№74 від 26.12.2025,88919,
старший сержант,3129012733,КОНДРАТЮК Петро Валерійович,09/01/1985,А4010,Телеграфіст,402,402721,КІБР,111 брез,10/19/2025,12/14/2025,№148 від 14.12.2025,37592,
старший солдат,2633550011,МАРТИНЕНКО Павло Андрійович,02/07/1972,А0998,Розвідник,106,106642,КІБР,121 НЦ,10/13/2025,12/03/2025,№493 від 03.12.2025,19841,
старший солдат,3753428203,ПАВЛЕНКО Михайло Андрійович,10/06/2002,А0501,Радіотелефоніст,403,403733,КІБР,333 брез,10/20/2025,12/04/2025,№414 від 04.12.2025,16482,
молодший сержант,3146419459,МАРТИНЕНКО Іван Михайлович,02/22/1986,А0998,Гранатометник,107,107543,КІБР,242 ЦПП,11/11/2025,12/30/2025,№316 від 30.12.2025,84373,
солдат,3498911854,ГРИЦЕНКО Микола Віталійович,10/18/1995,А7014,Гранатометник,107,107543,КІБР,111 брез,11/01/2025,12/23/2025,№344 від 23.12.2025,15679,
старший солдат,3567524106,КИРИЛЕНКО Артем Валерійович,09/03/1997,А7014,Сапер,166,166611,КІБР,242 ЦПП,11/08/2025,12/28/2025,№137 від 28.12.2025,21759,
головний сержант,3177538872,КОРШЕВНЮК Андрій Віталійович,12/30/1986,А2167,Радіотелефоніст,403,403733,КІБР,333 брез,11/01/2025,12/24/2025,№376 від 24.12.2025,82333,
старший сержант,3137888337,ОЛІЙНИК Андрій Юрійович,11/28/1985,А7014,Кухар,868,868512,КІБР,222 брез,11/07/2025,01/02/2026,№29 від 02.01.2026,19225,
сержант,3728355024,ПАНЧЕНКО Богдан Олегович,01/28/2002,А4007,Сапер,166,166611,КІБР,333 брез,10/18/2025,12/11/2025,№313 від 11.12.2025,37838,
молодший сержант,3208016903,ТИЩЕНКО Роман Сергійович,10/31/1987,А4007,Телеграфіст,402,402721,КІБР,121 НЦ,10/18/2025,12/07/2025,№112 від 07.12.2025,30286,
старший сержант,2798573574,ШЕВЧЕНКО Олександр Віталійович,08/14/1976,А4754,Кухар,868,868512,КІБР,121 НЦ,11/02/2025,12/28/2025,№287 від 28.12.2025,65062,
солдат,2602324170,КОТОВ Олександр Олегович,04/01/1971,А0998,Телеграфіст,402,402721,КІБР,333 брез,11/26/2025,01/21/2026,№401 від 21.01.2026,16390,
солдат,3745383810,КОТОВ Гліб Петрович,07/17/2002,А0139,Гранатометник,107,107543,КІБР,242 ЦПП,11/25/2025,01/20/2026,№219 від 20.01.2026,26480,
молодший сержант,3440080736,БОНДАРЕНКО Богдан Михайлович,03/08/1994,А0139,Радіотелефоніст,403,403733,КІБР,121 НЦ,11/10/2025,12/26/2025,№320 від 26.12.2025,10300,
солдат,2657264311,БІЛОУС Гліб Юрійович,10/01/1972,А4007,Снайпер,110,110001,КІБР,111 брез,11/07/2025,12/30/2025,№274 від 30.12.2025,55484,
старший сержант,2776653163,КИРИЛЕНКО Олексій Андрійович,01/08/1976,А0139,Механік-водій,121,121223,КІБР,111 брез,10/06/2025,12/01/2025,№158 від 01.12.2025,69733,
молодший сержант,2633403311,СИДОРЕНКО Руслан Андрійович,02/06/1972,А4007,Радіотелефоніст,403,403733,КІБР,111 брез,11/18/2025,01/05/2026,№304 від 05.01.2026,22921,
старший сержант,3312853569,МАРТИНЕНКО Віталій Сергійович,09/13/1990,А0139,Водій,837,837037,КІБР,121 НЦ,11/02/2025,12/18/2025,№50 від 18.12.2025,57779,
головний сержант,3461471337,БІЛОУС Сергій Іванович,10/08/1994,А4007,Кулеметник,101,101255,КІБР,333 брез,10/23/2025,12/17/2025,№450 від 17.12.2025,91902,
молодший сержант,3168774100,ПАВЛЕНКО Микола Валерійович,10/03/1986,А1126,Водій,837,837037,КІБР,222 брез,10/01/2025,11/24/2025,№280 від 24.11.2025,25909,
молодший сержант,2693707300,КИРИЛЕНКО Олексій Павлович,10/01/1973,А0998,Розвідник,106,106642,КІБР,111 брез,10/27/2025,12/13/2025,№158 від 13.12.2025,35002,
старший солдат,3062742318,ГРИЦЕНКО Петро Юрійович,11/08/1983,А7014,Розвідник,106,106642,КІБР,111 брез,10/08/2025,12/06/2025,№469 від 06.12.2025,11043,
молодший сержант,3027653676,ГЕРАСИМЕНКО Олександр Іванович,11/22/1982,А0666,Кухар,868,868512,КІБР,111 брез,10/01/2025,11/25/2025,№408 від 25.11.2025,56375,
головний сержант,2681153786,БОНДАРЕНКО Богдан Юрійович,05/28/1973,А0501,Снайпер,110,110001,КІБР,222 брез,10/19/2025,12/10/2025,№257 від 10.12.2025,66867,
сержант,3552096740,КОНДРАТЮК Богдан Богданович,04/01/1997,А2167,Оператор БПЛА,212,212720,КІБР,333 брез,10/27/2025,12/11/2025,№134 від 11.12.2025,55601,
сержант,2704223383,МОРОЗ Віталій Михайлович,01/14/1974,А7014,Снайпер,110,110001,КІБР,242 ЦПП,10/27/2025,12/11/2025,№380 від 11.12.2025,77400,
солдат,3019031320,ЛИТВИН Вадим Миколайович,08/28/1982,А0139,Бойовий медик,878,878453,КІБР,111 брез,10/09/2025,12/01/2025,№362 від 01.12.2025,95492,
головний сержант,3505374059,КУЗЬМЕНКО Руслан Миколайович,12/21/1995,А4010,Снайпер,110,110001,КІБР,222 брез,10/13/2025,12/05/2025,№186 від 05.12.2025,81653,
старший солдат,3137455130,ТКАЧУК Денис Анатолійович,11/24/1985,А0666,Механік-водій,121,121223,КІБР,121 НЦ,11/01/2025,12/18/2025,№377 від 18.12.2025,11526,
солдат,3149789785,ШЕВЧЕНКО Денис Юрійович,03/27/1986,А0139,Снайпер,110,110001,КІБР,333 брез,11/26/2025,01/20/2026,№392 від 20.01.2026,70557,
старший сержант,3615979566,БОНДАРЕНКО Артем Юрійович,12/31/1998,А2167,Сапер,166,166611,КІБР,121 НЦ,10/08/2025,11/30/2025,№80 від 30.11.2025,99907,
старший солдат,3800976267,ШЕВЧЕНКО Дмитро Юрійович,01/24/2004,А4754,Снайпер,110,110001,КІБР,111 брез,11/07/2025,12/24/2025,№187 від 24.12.2025,47634,
солдат,2827333068,КИРИЛЕНКО Ігор Іванович,05/29/1977,А0501,Розвідник,106,106642,КІБР,121 НЦ,10/28/2025,12/13/2025,№99 від 13.12.2025,94991,
старший сержант,3812038240,КРАВЧЕНКО Ігор Павлович,05/14/2004,А2167,Оператор БПЛА,212,212720,КІБР,111 брез,11/26/2025,01/10/2026,№121 від 10.01.2026,18611,
старший солдат,3132104294,КОЗАК Андрій Іванович,10/02/1985,А0139,Розвідник,106,106642,КІБР,111 брез,11/02/2025,12/30/2025,№438 від 30.12.2025,58729,
